method,parameter,clusters,noise_fraction,largest_cluster_fraction
DBSCAN,eps=0.47788; min_samples=15,5,0.41333333333333333,0.7572443181818181
DBSCAN,eps=0.69901; min_samples=15,6,0.20566666666666666,0.8191355434326479
DBSCAN,eps=1.0158; min_samples=15,7,0.09291666666666666,0.8633899862195682
HDBSCAN,min_cluster_size=60; min_samples=15,6,0.29875,0.8209150326797385
HDBSCAN,min_cluster_size=120; min_samples=15,4,0.28458333333333335,0.8046592894583576
HDBSCAN,min_cluster_size=240; min_samples=15,4,0.28458333333333335,0.8046592894583576
